Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Family_Income,Teacher_Quality,Peer_Influence,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Exam_Score,Tutoring_Sessions_Group
23,84,0,2,0,7,73,0,1,0,1,2,3,0,0,2,67,0
19,64,0,1,0,8,59,0,1,1,1,0,4,0,1,1,61,2
24,98,1,1,1,7,91,1,1,1,1,1,4,0,2,2,74,2
29,89,0,1,1,8,98,1,1,1,1,0,4,0,0,1,71,1
19,92,1,1,1,6,65,1,1,1,2,1,4,0,1,2,70,3
19,88,1,1,1,8,89,1,1,1,1,2,3,0,2,2,71,3
29,84,1,0,1,7,68,0,1,0,1,1,2,0,0,1,67,1
25,78,0,2,1,6,50,1,1,2,2,0,2,0,0,0,66,1
17,94,1,2,0,6,80,2,1,1,0,1,1,0,1,2,69,0
23,98,1,1,1,8,71,1,1,2,2,2,5,0,0,1,72,0
17,80,0,2,0,8,88,1,0,1,2,1,4,0,1,1,68,4
17,97,1,2,1,6,87,0,1,0,2,1,2,0,0,2,71,2
21,83,1,1,1,8,97,0,1,1,1,2,4,0,0,2,70,2
9,82,1,1,1,8,72,1,1,1,1,2,3,0,2,2,66,2
10,78,1,2,1,8,74,1,1,0,1,1,4,0,2,2,65,1
17,68,1,1,0,8,70,1,1,1,1,2,4,0,0,2,64,2
14,60,1,0,1,10,65,0,1,2,1,2,3,0,1,2,60,0
22,70,0,1,1,6,82,1,1,0,2,1,3,0,0,2,65,1
15,80,1,1,1,9,91,0,1,0,1,2,2,0,1,1,67,3
12,75,1,2,1,7,58,1,1,1,1,2,4,0,1,2,66,3
29,78,1,1,0,5,99,2,1,2,1,0,1,0,0,1,69,0
19,99,1,2,0,6,84,1,1,1,2,1,3,0,0,2,72,1
20,74,1,2,0,8,89,0,1,1,1,0,2,0,1,1,66,1
11,78,2,1,1,8,100,2,1,0,1,1,3,0,0,1,66,1
17,65,0,2,1,5,75,1,1,0,1,2,3,0,0,2,63,2
21,62,2,0,1,6,54,2,1,2,2,2,3,0,2,0,64,0
13,91,0,1,0,6,90,1,1,2,1,0,2,1,0,1,65,1
22,83,2,2,1,6,94,1,1,2,1,1,2,0,1,1,71,0
16,90,1,1,0,4,58,1,1,0,1,1,3,0,0,1,66,1
18,66,2,2,0,4,51,0,1,0,1,1,2,0,1,2,64,2
16,83,0,1,0,6,57,1,1,2,0,2,4,1,0,2,63,0
31,70,1,2,1,7,66,1,1,2,1,0,3,0,1,2,69,1
20,69,1,1,1,8,96,1,1,1,2,2,3,0,0,2,67,2
14,60,2,1,0,5,50,1,1,1,1,1,3,0,1,2,61,2
25,65,2,1,0,5,90,1,1,1,1,2,3,0,1,1,68,2
13,72,0,1,0,6,93,0,1,0,1,0,3,0,0,2,61,1
21,65,1,0,1,7,91,0,1,1,2,2,3,0,0,0,64,2
8,99,1,1,0,9,54,0,1,0,1,1,5,0,2,2,67,2
12,72,0,1,1,8,84,1,1,0,1,2,5,0,0,2,63,1
21,65,0,1,1,6,98,0,1,1,2,0,4,0,0,2,64,1
24,68,2,1,0,8,56,0,1,2,2,1,1,0,1,2,67,3
21,84,1,1,1,6,52,0,1,1,2,1,2,1,1,0,65,1
19,63,0,2,0,7,94,1,1,1,1,2,3,0,0,1,64,1
18,94,1,2,1,7,82,1,1,1,1,0,2,1,1,2,70,3
11,98,1,1,1,9,82,0,1,1,1,2,3,0,2,0,68,1
16,70,1,1,1,8,98,1,1,1,1,2,3,0,0,1,65,2
17,78,1,1,1,6,88,1,1,1,2,2,3,0,1,2,68,1
26,61,1,0,1,6,70,1,1,0,1,2,3,0,0,1,64,2
22,86,0,1,1,7,72,0,1,0,2,2,2,0,0,1,68,3
9,77,1,1,0,5,57,1,1,1,2,1,3,0,0,2,63,2
22,71,0,1,1,7,65,0,1,1,0,2,4,0,1,1,64,1
18,68,2,1,0,7,72,1,1,1,1,1,3,0,1,2,64,0
16,86,0,1,1,8,63,1,1,1,1,2,4,0,0,2,67,2
24,77,2,0,0,8,96,1,1,1,1,1,3,0,0,2,67,0
26,67,1,2,1,7,51,0,1,2,2,1,4,1,2,0,66,2
26,88,1,2,1,5,79,1,1,0,2,2,4,0,1,1,72,1
15,83,1,2,0,5,89,0,0,1,2,1,2,1,0,2,65,1
18,94,1,1,1,6,87,2,1,1,1,2,4,0,0,2,71,1
22,65,2,0,0,8,82,1,1,1,2,2,1,0,2,2,66,2
26,91,1,0,1,8,71,1,1,0,1,1,3,0,0,1,68,0
17,87,1,1,0,7,96,1,1,2,1,0,5,0,2,2,70,1
19,65,1,1,1,10,66,0,1,0,1,2,3,0,0,1,62,0
13,88,0,2,1,9,88,2,1,0,2,0,4,0,2,0,68,2
13,78,1,2,1,9,96,2,1,0,1,1,3,0,1,1,67,2
25,98,0,2,1,8,56,1,0,1,2,1,3,0,2,2,71,0
28,66,1,2,1,8,97,1,1,1,1,1,2,0,0,2,68,0
20,86,1,1,1,8,89,1,1,0,1,0,3,0,2,2,69,1
26,75,0,2,1,4,81,2,1,1,2,2,2,0,0,1,70,3
22,98,1,2,0,5,69,0,0,0,2,0,4,0,0,1,69,1
16,73,1,1,0,7,95,1,1,0,1,0,4,0,1,2,65,1
22,98,1,0,1,7,52,1,0,1,1,2,3,0,1,2,70,3
29,96,1,0,1,7,72,1,1,0,1,2,3,0,0,1,71,1
20,71,1,1,1,7,88,1,1,0,0,1,4,0,1,2,65,1
29,92,0,1,0,4,91,1,1,1,1,0,1,0,2,2,72,2
4,100,2,2,1,8,60,2,1,1,2,2,4,0,1,1,69,0
25,70,1,1,0,7,52,1,1,1,1,2,3,0,2,2,66,1
21,77,0,1,1,7,90,1,1,1,1,1,3,0,2,1,68,4
18,81,2,0,1,8,71,1,1,1,1,1,3,0,0,1,65,0
21,72,1,1,1,5,57,1,1,2,1,1,5,1,1,1,64,1
8,61,1,1,1,7,54,1,1,2,1,2,3,0,1,2,60,1
19,69,1,2,1,7,82,2,1,0,1,0,2,0,0,2,65,1
22,71,2,1,0,6,79,2,1,0,0,2,3,0,0,2,66,1
29,78,2,2,1,4,93,0,1,1,2,1,3,0,1,2,74,5
17,67,1,1,1,5,52,2,1,1,1,0,3,0,0,0,62,2
15,95,1,1,0,7,93,1,1,0,1,2,4,0,1,1,70,2
17,88,1,2,1,7,94,0,1,1,1,1,3,0,0,2,69,0
25,63,1,2,1,7,72,1,1,1,2,0,4,0,1,0,67,3
22,86,0,0,0,6,54,1,1,1,1,1,0,0,0,1,64,2
17,86,1,2,0,5,97,2,1,2,1,1,3,0,1,2,71,3
23,98,1,0,1,7,54,0,1,1,1,0,3,0,1,2,68,0
21,60,2,1,0,7,80,1,1,1,2,1,4,1,1,2,64,0
26,70,1,0,1,8,75,1,1,1,0,1,4,1,0,0,63,1
16,97,1,1,1,6,92,0,1,2,1,2,4,0,1,2,71,0
18,97,2,1,1,4,75,0,1,0,1,2,3,0,0,1,69,0
18,89,2,1,1,4,73,1,1,2,1,2,2,0,1,2,100,3
11,91,1,1,0,6,94,1,1,1,1,1,3,0,1,1,68,3
22,64,0,1,0,7,98,0,0,1,1,0,3,0,0,2,62,1
22,81,1,1,1,7,77,0,1,1,1,2,3,0,2,0,68,2
20,69,2,2,1,6,73,1,1,0,1,2,3,0,0,0,66,2
19,67,0,1,0,5,92,2,1,1,1,2,3,0,1,2,64,0
12,92,1,1,0,4,92,2,1,1,2,1,3,1,0,1,67,2
17,65,1,2,1,8,66,1,1,2,2,1,4,1,2,1,65,1
18,79,1,1,1,7,79,1,1,0,2,1,3,0,1,0,65,0
15,98,2,1,0,6,58,2,1,0,2,2,3,0,1,2,69,0
19,67,1,1,0,5,82,2,1,0,0,0,3,0,0,2,63,1
22,99,1,0,1,6,92,0,1,1,1,0,4,0,2,1,72,3
31,100,1,1,0,7,59,1,1,2,2,2,5,0,2,1,76,2
21,82,1,2,1,7,66,2,1,0,1,2,3,1,1,2,69,3
22,67,1,1,1,7,72,2,1,0,2,2,2,0,2,1,67,3
20,73,2,1,1,9,92,1,1,1,2,2,3,0,1,2,69,2
8,77,2,1,1,6,87,1,1,0,1,1,2,0,0,1,63,0
20,72,1,1,0,9,66,1,1,0,2,2,3,0,2,2,67,3
20,71,0,2,1,7,62,2,1,1,1,0,5,0,1,2,66,2
35,99,2,2,1,7,85,0,1,1,2,1,2,0,2,2,79,2
19,66,1,1,0,8,74,1,1,2,1,1,3,0,0,2,64,1
22,89,2,2,1,6,80,1,1,2,2,2,3,0,0,2,73,1
20,60,0,2,0,7,82,2,1,0,2,2,4,1,0,2,63,2
13,84,1,1,0,5,78,1,1,0,2,2,2,0,0,2,65,1
27,97,0,2,1,8,81,1,1,2,1,2,5,0,0,2,73,0
25,72,2,2,1,8,94,0,1,0,1,2,4,0,1,1,70,2
25,67,2,1,0,9,93,2,1,0,2,2,3,1,0,2,68,2
15,86,1,1,1,7,57,1,1,1,1,0,3,0,1,2,65,1
28,89,0,2,1,9,79,2,1,0,1,2,1,0,1,1,71,0
12,88,0,1,0,6,72,0,1,1,1,2,2,0,1,0,64,2
24,73,1,2,1,8,64,1,1,2,1,1,3,1,1,1,68,4
33,70,1,1,1,6,82,0,1,0,2,1,4,0,1,2,69,1
14,98,1,1,0,7,76,1,1,1,2,2,4,0,1,1,69,0
17,97,1,1,0,8,89,1,1,0,1,1,4,0,0,0,69,1
21,78,1,1,1,10,55,1,1,2,0,2,2,0,1,2,67,1
17,94,0,1,1,8,65,0,1,1,1,1,6,0,0,0,68,4
11,78,1,2,1,8,51,1,1,0,1,1,3,0,2,2,64,2
20,77,1,1,0,6,87,0,1,0,2,2,4,0,0,2,66,0
